sample,chr,arm,median_bpWeighted,total_bins,total_bpOverlap,top_event,top_event_bp,top_event_fraction
P-0000037-T02-IM3,chr1,p,-0.349803009,606.2988716,217499038,Losses,193842682,0.891234664
P-0000037-T02-IM3,chr1,q,0.506852232,479.3549542,239983416,Gains,188818524,0.786798218
P-0000037-T02-IM3,chr16,p,-0.6455,204.0140405,73549858,Losses,73549858,1
P-0000037-T02-IM3,chr16,q,-0.6455,293.9859595,105985968,Losses,105985968,1
P-0000037-T02-IM3,chr2,p,-0.6346,364.3292114,171665824,Losses,171665824,1
P-0000037-T02-IM3,chr4,q,-0.505537587,306.1867534,277880880,Losses,262446258,0.944455977
P-0000037-T02-IM3,chr6,q,-0.330469999,406.4469182,204586810,Losses,108656662,0.531102968
P-0000037-T02-IM3,chr8,p,-0.349545572,75.65443309,76462402,Losses,47935924,0.626921503
P-0000037-T02-IM3,chr8,q,0.320687558,185.2085338,195520404,Gains,149776460,0.76604005
P-0000182-T01-IM3,chr1,q,0.438276704,403.7178529,195346318,Gains,195346318,1
P-0000182-T01-IM3,chr10,p,0.4567,52,74065084,Gains,74065084,1
P-0000182-T01-IM3,chr17,p,-0.479616895,263.0413913,38434532,Losses,34033318,0.885488029
P-0000182-T01-IM3,chr7,q,0.205066667,388,183384298,Gains,146530764,0.799036589
P-0000587-T01-IM3,chr1,p,0.591457348,1024.860413,336247401,Gains,210564003,0.626217489
P-0000587-T01-IM3,chr1,q,0.10774713,601.6748869,355612260,Gains,298937226,0.840626884
P-0000587-T01-IM3,chr13,q,-0.142733333,621,222350226,Gains,171567102,0.7716075
P-0000587-T01-IM3,chr16,p,-0.325,306.0210608,110324787,Losses,110324787,1
P-0000587-T01-IM3,chr16,q,-0.325,440.9789392,158978952,Losses,158978952,1
P-0000587-T01-IM3,chr22,q,-0.3523,303,90952287,Losses,90952287,1
P-0000587-T01-IM3,chr5,q,-0.466830603,850.7566661,385140189,Losses,365594292,0.949249916
P-0000587-T01-IM3,chr8,q,0.8683,183,268756239,Gains,268756239,1
P-0000829-T01-IM3,chr1,p,0.054133898,595.9864854,224841844,Gains,155788570,0.692880681
P-0000829-T01-IM3,chr8,q,0.3467,151.6540203,199453396,Gains,199453396,1
P-0001188-T01-IM3,chr1,q,0.272285021,790.3745653,364434117,Gains,277876434,0.762487432
P-0001188-T01-IM3,chr12,q,-0.085181539,815.7704339,273265143,Gains,198631353,0.726881412
P-0001188-T01-IM3,chr15,q,0.3005,465,220935747,Gains,220935747,1
P-0001188-T01-IM3,chr16,q,-0.5408,270,113392176,Losses,113392176,1
P-0001188-T01-IM3,chr17,p,-0.556308403,449.4396059,71680410,Losses,51044388,0.712110715
P-0001188-T01-IM3,chr21,q,-0.5321,195,83585205,Losses,83585205,1
P-0001188-T01-IM3,chr5,q,0.173914752,868.4691186,390974898,Gains,269597892,0.689552944
P-0001188-T01-IM3,chr7,p,0.587005955,328.4907318,168520527,Gains,168520527,1
P-0001188-T01-IM3,chr7,q,0.562339389,613.5092682,288127146,Gains,288127146,1
P-0001188-T01-IM3,chr8,p,-0.4768,147,114879600,Losses,114879600,1
P-0001307-T01-IM3,chr1,q,0.375893729,594.6951136,278816853,Gains,250868598,0.899761242
P-0001307-T01-IM3,chr4,q,-0.114757912,661.2296783,410097135,Losses,293312679,0.71522733
P-0001307-T01-IM3,chr8,p,-0.265402603,105.2251137,127024854,Losses,86794593,0.683288272
P-0001310-T01-IM3,chr1,q,0.5302,461.5265078,246512844,Gains,246512844,1
P-0001310-T01-IM3,chr10,q,-1.114481046,218.1611151,156433426,Losses,91794264,0.586794436
P-0001310-T01-IM3,chr12,p,-0.464651992,233.2454167,60170054,Losses,54089272,0.898940061
P-0001310-T01-IM3,chr17,p,-0.804625155,259.4188735,38434532,Losses,34033318,0.885488029
P-0001310-T01-IM3,chr18,p,0.4812,36,26372406,Gains,26372406,1
P-0001310-T01-IM3,chr18,q,-0.6037,166,110732700,Losses,110732700,1
P-0001310-T01-IM3,chr8,p,-0.737666667,98,76578592,Losses,76578592,1
P-0001310-T01-IM3,chr9,p,-0.83705,210,73153718,Losses,73153718,1
P-0001321-T01-IM3,chr11,p,-0.190323475,127.4417075,93859982,Losses,60604470,0.645690194
P-0001409-T01-IM3,chr1,q,0.4012,662.9435118,369769266,Gains,369769266,1
P-0001409-T01-IM3,chr5,p,0.3646,294.9597829,137794497,Gains,137794497,1
P-0001409-T01-IM3,chr5,q,0.3646,837.3184721,391164777,Gains,391164777,1
P-0001409-T01-IM3,chr6,p,0.3301,293.0231978,174590220,Gains,174590220,1
P-0001409-T01-IM3,chr6,q,0.3301,564.9768022,336626673,Gains,336626673,1
P-0001409-T01-IM3,chr7,p,0.3714,352.5907425,168532383,Gains,168532383,1
P-0001409-T01-IM3,chr7,q,0.3714,631.4092575,301802895,Gains,301802895,1
P-0001409-T01-IM3,chr8,p,-0.7441,147,114879600,Losses,114879600,1
P-0001409-T01-IM3,chr8,q,0.5189,244.3808602,273712053,Gains,273712053,1
P-0001806-T01-IM3,chr1,p,0.0319,688,236231108,Losses,236103302,0.999458979
P-0001806-T01-IM3,chr1,q,0.748842379,403.8585694,181878584,Gains,166005100,0.912724832
P-0001806-T01-IM3,chr13,q,0.176425,414,147664802,Gains,87053672,0.589535697
P-0001806-T01-IM3,chr16,p,-0.544,218.7620435,73549858,Losses,73549858,1
P-0001806-T01-IM3,chr16,q,-0.544,315.2379565,105985968,Losses,105985968,1
P-0001806-T01-IM3,chr17,p,-0.365533333,240,43383900,Losses,43383240,0.999984787
P-0001806-T01-IM3,chr17,q,0.2411,584,102702790,Gains,79030480,0.769506651
P-0001806-T01-IM3,chr18,q,-0.415161549,176.0972918,111597294,Losses,85938338,0.770075464
P-0001806-T01-IM3,chr8,p,-0.4622,64.3496928,86389538,Losses,86389538,1
P-0001806-T01-IM3,chr8,q,0.754781067,196.2581613,200611320,Gains,115160708,0.574048902
P-0001852-T01-IM3,chr19,p,0.711424489,576.1422762,49196516,Gains,31971786,0.649879069
P-0001852-T01-IM3,chr8,p,-0.7081,98,76586400,Losses,76586400,1
P-0001852-T01-IM3,chr8,q,1.175760124,149.2877772,179699262,Gains,179699262,1
P-0001974-T01-IM3,chr12,p,-0.515356545,244.5536767,58731776,Losses,39717348,0.676249736
P-0001974-T01-IM3,chr17,p,-0.522297774,273.545754,38434532,Losses,34033318,0.885488029
P-0001974-T01-IM3,chr22,q,-0.6415,204,60634858,Losses,60634858,1
P-0001974-T01-IM3,chr8,p,-0.6522,98,76586400,Losses,76586400,1
P-0002299-T01-IM3,chr1,q,0.8983,202.4698894,123256422,Gains,123256422,1
P-0002299-T01-IM3,chr12,p,-0.5217,101.3710728,34475276,Losses,34475276,1
P-0002299-T01-IM3,chr12,q,-0.381310238,257.5216883,89658727,Losses,79951781,0.89173451
P-0002299-T01-IM3,chr13,q,0.0849,207,85095043,Gains,57045609,0.67037523
P-0002299-T01-IM3,chr18,p,-0.5013,24.14743187,16535473,Losses,16535473,1
P-0002299-T01-IM3,chr18,q,-0.706979661,76.85256813,55438046,Losses,55438046,1
P-0002299-T01-IM3,chr6,p,0.391107548,110.8119185,54765296,Gains,54753482,0.999784279
P-0002299-T01-IM3,chr6,q,0.170835391,175.1880815,104519470,Gains,79575736,0.761348445
P-0002299-T01-IM3,chr7,p,0.283595114,122.2829872,52975366,Gains,39957451,0.754264746
P-0002317-T01-IM3,chr11,q,-0.777803668,576.5388248,150943468,Losses,131876512,0.873681477
P-0002317-T01-IM3,chr12,p,-0.6305,177.9207603,68950552,Losses,68950552,1
P-0002317-T01-IM3,chr17,p,-0.670550167,286.3203859,47770932,Losses,31887698,0.667512579
P-0002317-T01-IM3,chr3,p,-0.3416,470,169986320,Losses,95790020,0.563516052
P-0002317-T01-IM3,chr3,q,0.3833,443.7773336,210585844,Gains,210585844,1
P-0002317-T01-IM3,chr8,p,-0.736193438,101.8874925,85554600,Losses,75506776,0.88255659
P-0002697-T01-IM3,chr1,q,0.6947,403.7768898,195347954,Gains,195347954,1
P-0002697-T01-IM3,chr8,p,-0.442350802,66.52075999,82031914,Losses,71054380,0.866179716
P-0002697-T01-IM3,chr8,q,0.3477,194.3205636,202757272,Gains,202757272,1
P-0002719-T01-IM3,chr1,p,-0.113412821,666.6008874,217683460,Gains,124909080,0.573810615
P-0002719-T01-IM3,chr1,q,0.123831924,425.5106199,235818898,Gains,169934578,0.720614758
P-0002719-T01-IM3,chr16,p,-0.569815439,324.931426,73548508,Losses,73548508,1
P-0002719-T01-IM3,chr16,q,-0.4516,209.068574,105985968,Losses,105985968,1
P-0002719-T01-IM3,chr8,p,-0.502295295,99.65010047,85554600,Losses,75506776,0.88255659
P-0002753-T01-IM3,chr11,q,0.065478428,520.7748835,153321488,Losses,118187588,0.770848167
P-0002753-T01-IM3,chr12,p,-0.3988927,233.2454167,61230776,Losses,55356896,0.90406981
P-0002753-T01-IM3,chr16,p,-0.604631722,327.1414658,73321698,Losses,73321698,1
P-0002753-T01-IM3,chr16,q,-0.3426,206.8585342,105985968,Losses,105985968,1
P-0002753-T01-IM3,chr17,p,-0.3539,240,43389452,Losses,43389452,1
P-0002753-T01-IM3,chr17,q,0.6509,584,102721304,Gains,102721304,1
P-0002753-T01-IM3,chr19,p,-0.278030247,509.9812332,47180496,Losses,24624492,0.521921007
P-0002753-T01-IM3,chr20,p,0.4518,147.7202352,54448274,Gains,54448274,1
P-0002753-T01-IM3,chr20,q,0.4518,178.2797648,65712226,Gains,65712226,1
P-0002753-T01-IM3,chr4,q,-0.551173777,438.3416717,252639334,Losses,252466668,0.999316551
P-0002753-T01-IM3,chr7,q,0.4265,408,186942802,Gains,186933484,0.999950156
P-0002753-T01-IM3,chr8,p,-0.3501,78.45660618,86389538,Losses,86389538,1
P-0002753-T01-IM3,chr9,p,-0.379,200.3753995,93876042,Losses,93876042,1
P-0002753-T01-IM3,chr9,q,-0.379,388.621365,182069434,Losses,182069434,1
P-0003212-T01-IM5,chr1,q,0.527900515,432.9102884,245067368,Gains,245067368,1
P-0003212-T01-IM5,chr17,p,-0.7707,260,43389452,Losses,43389452,1
P-0003212-T01-IM5,chr17,q,0.3534,764,102721304,Gains,102721304,1
P-0003212-T01-IM5,chr6,p,0.39832518,330.7951627,106332084,Gains,103009898,0.968756504
P-0003212-T01-IM5,chr6,q,0.3426,351.2048373,224417782,Gains,224417782,1
P-0003212-T01-IM5,chr7,p,0.3584,246.5268606,112354922,Gains,112354922,1
P-0003212-T01-IM5,chr7,q,0.3584,441.4731394,201201930,Gains,201201930,1
P-0003212-T01-IM5,chr8,p,-0.7288,98,76586400,Losses,76586400,1
P-0003212-T01-IM5,chr8,q,0.6463,198.6836261,182474702,Gains,182474702,1
P-0003524-T02-IM7,chr1,q,0.567541256,375.181468,120593295,Gains,97673977,0.809945337
P-0003524-T02-IM7,chr10,q,-0.241897623,178.3524513,92868886,Losses,75758793,0.81576076
P-0003524-T02-IM7,chr11,p,0.910171267,124.1156376,47698265,Losses,47269458,0.991010008
P-0003524-T02-IM7,chr11,q,0.670758642,349.8843624,75368551,Losses,40370361,0.535639341
P-0003524-T02-IM7,chr12,p,-0.69037586,139.8602204,33668454,Losses,31562637,0.937454301
P-0003524-T02-IM7,chr17,p,-0.7453,157.490752,23895332,Losses,23895332,1
P-0003524-T02-IM7,chr17,q,0.089692463,420.509248,56209509,Gains,41980959,0.746865784
P-0003524-T02-IM7,chr21,p,-0.7494,6.9042819,3639667,Losses,3639667,1
P-0003524-T02-IM7,chr21,q,-0.7494,63.50999711,33479983,Losses,33479983,1
P-0003524-T02-IM7,chr6,p,0.3325,193.9989669,58196740,Gains,58196740,1
P-0004805-T01-IM5,chr1,q,0.549758373,434.8272424,245067368,Gains,245067368,1
P-0004805-T01-IM5,chr18,p,-0.5226,52.9761713,33070946,Losses,33070946,1
P-0004805-T01-IM5,chr18,q,-0.5226,183.0238287,114254598,Losses,114254598,1
P-0004805-T01-IM5,chr22,q,0.3852,204,60634858,Gains,60634858,1
P-0004805-T01-IM5,chr4,p,0.4166,179.5564246,93734702,Gains,93734702,1
P-0004805-T01-IM5,chr4,q,-0.207463162,355.3026365,257394088,Losses,185121724,0.719215136
P-0004805-T01-IM5,chr6,p,0.60511701,252.5039438,113146128,Gains,106275914,0.939280167
P-0004805-T01-IM5,chr6,q,-0.345996354,429.4960562,215630540,Losses,196480624,0.911191077
